FID,Tree_ID,Species,Area,POINT_X,POINT_Y
0,I2 sycamore,sycamore,B,-1.313252393,51.76607508
1,I2 birch,birch,B,-1.313425018,51.76582316
2,I2 ash,ash,B,-1.313134316,51.76586274
3,I2 oak,oak,B,-1.312769186,51.76611387
4,I3 oak,oak,B,-1.312269291,51.765825
5,I3 ash,ash,B,-1.312046497,51.76568793
6,I3 birch,birch,B,-1.311569418,51.76577878
7,I3 sycamore,sycamore,B,-1.311322165,51.76619496
8,H4 birch,birch,B,-1.313195708,51.76538609
9,H4 oak,oak,B,-1.312934385,51.76504183
10,H4 ash,ash,B,-1.312531164,51.76477656
11,H5 oak,oak,B,-1.311167221,51.76492563
12,H5 ash,ash,B,-1.311145859,51.7651807
13,H6 oak,oak,B,-1.309495616,51.76505124
14,H7 ash,ash,B,-1.308610156,51.76503547
15,H7 oak,oak,B,-1.308358497,51.76496649
16,J3 sycamore,sycamore,B,-1.313060848,51.76684457
17,J2 oak,oak,B,-1.312882575,51.76712373
18,J2 sycamore,sycamore,B,-1.31189797,51.7669432
19,J3 birch,birch,B,-1.311304294,51.76670391
20,J4 sycamore,sycamore,B,-1.310872113,51.76695625
21,J4 ash,ash,B,-1.310293854,51.76685352
22,J4 beech,beech,B,-1.310228217,51.76672542
23,J4 oak,oak,B,-1.309758953,51.76716652
24,K4 ash,ash,B,-1.310472557,51.76776163
25,K4 oak,oak,B,-1.310053745,51.7680989
26,K5 ash,ash,B,-1.309108755,51.76765948
27,K5 birch,birch,B,-1.30882617,51.76803562
28,L1 oak,oak,B,-1.308655933,51.76883698
29,L1 birch,birch,B,-1.30833461,51.7689446
30,K6 ash,ash,B,-1.307272571,51.76814886
31,K6 birch,birch,B,-1.307132368,51.76763245
32,K6 oak,oak,B,-1.306805198,51.76766981
33,J5 ash,ash,B,-1.308044511,51.76712332
34,J6 birch,birch,B,-1.307225779,51.76685581
35,J6 oak,oak,B,-1.306829232,51.76695527
36,I6 ash,ash,B,-1.307782206,51.76599321
37,I6 birch,birch,B,-1.307448853,51.76581548
38,I6 oak,oak,B,-1.307356813,51.76605077
39,F9 oak,oak,B,-1.31323637,51.76421897
40,F9 birch,birch,B,-1.313016414,51.76418007
41,F9 ash,ash,B,-1.312644252,51.7639663
42,F0 oak,oak,B,-1.311695349,51.76417991
43,F0 birch,birch,B,-1.311689079,51.76434422
44,F0 ash,ash,B,-1.311770387,51.76443136
45,G1 ash,ash,B,-1.310425445,51.7642991
46,G1 oak,oak,B,-1.31011431,51.76435286
47,G2 birch,birch,B,-1.309307366,51.76379345
48,G2 ash,ash,B,-1.308833128,51.7643112
49,G2 oak,oak,B,-1.308314344,51.76411893
50,E6 birch,birch,B,-1.313376635,51.76337143
51,E6 oak,oak,B,-1.312783599,51.76323707
52,E6 sycamore,sycamore,B,-1.312796356,51.76340441
53,P6 beech,beech,EX,-1.343726296,51.77623844
54,P6 ash,ash,EX,-1.343392962,51.77601267
55,P6 sycamore,sycamore,EX,-1.3431594,51.7758997
56,P6 oak B,oak B,EX,-1.342816438,51.77602527
57,P6 oak A,oak A,EX,-1.342843101,51.77606715
58,P6 oak C,oak C,EX,-1.342875406,51.77599428
59,P7 sycamore,sycamore,EX,-1.341636682,51.77610468
60,P7 oak C,oak C,EX,-1.34127474,51.77631645
61,P7 oak A,oak A,EX,-1.341149677,51.77642696
62,P7 oak B,oak B,EX,-1.341102796,51.7763674
63,P8 oak C,oak C,EX,-1.340763996,51.77629041
64,P8 oak B,oak B,EX,-1.340784703,51.77621163
65,P8 oak A,oak A,EX,-1.340669917,51.7761064
66,P8 sycamore,sycamore,EX,-1.34065619,51.77601615
67,N9 oak A,oak A,EX,-1.340399375,51.77492917
68,N9 oak B,oak B,EX,-1.340561634,51.77494532
69,N9 sycamore,sycamore,EX,-1.340422757,51.77499479
70,N9 oak C,oak C,EX,-1.340548495,51.77483873
71,N2 oak A,oak A,EX,-1.340596219,51.77450862
72,N2 oak B,oak B,EX,-1.340691042,51.7744379
73,N2 oak C,oak C,EX,-1.340828902,51.77442074
74,N2 beech,beech,EX,-1.340273592,51.77405959
75,N1 sycamore,sycamore,EX,-1.341909567,51.77419311
76,N1 ash,ash,EX,-1.341708529,51.77428529
77,N1 oak A,oak A,EX,-1.342404391,51.77432283
78,N8 sycamore,sycamore,EX,-1.341933419,51.7750613
79,N8 oak C,oak C,EX,-1.341627473,51.77511097
80,N8 oak A,oak A,EX,-1.34178236,51.77509952
81,N2 ash,ash,EX,-1.33985719,51.77408037
82,N2 sycamore,sycamore,EX,-1.339739759,51.77388036
83,L8 beech,beech,EX,-1.342145945,51.77263478
84,L8 ash,ash,EX,-1.341898307,51.77260352
85,L8 birch,birch,EX,-1.342269227,51.77232428
86,L8 sycamore,sycamore,EX,-1.341868286,51.77231457
87,L8 oak A,oak A,EX,-1.341730832,51.77234401
88,L8 oak B,oak B,EX,-1.341555889,51.77236853
89,L8 oak C,oak C,EX,-1.341494122,51.7724117
90,L9 oak C,oak C,EX,-1.340698514,51.77266522
91,L9 oak B,oak B,EX,-1.340630404,51.77262242
92,L9 oak A,oak A,EX,-1.340543002,51.77267838
93,L9 ash,ash,EX,-1.340667737,51.77248593
94,L9 sycamore,sycamore,EX,-1.340546381,51.77237963
95,L3 sycamore,sycamore,EX,-1.34536591,51.76906603
96,L3 ash,ash,EX,-1.344909103,51.76940165
97,L3 birch,birch,EX,-1.344893934,51.76944806
98,L3 oak C,oak C,EX,-1.344937864,51.7695128
99,L3 oak B,oak B,EX,-1.34499066,51.7695765
100,L3 oak A,oak A,EX,-1.344886079,51.76960366
101,L4 birch,birch,EX,-1.3437981,51.76971465
102,L4 oak C,oak C,EX,-1.343406984,51.76970562
103,L4 oak B,oak B,EX,-1.34338306,51.76977554
104,L4 ash,ash,EX,-1.342995369,51.76970688
105,L4 oak,oak,EX,-1.343018206,51.76979743
106,L4 beech,beech,EX,-1.343042611,51.76989553
107,K9 oak A,oak A,EX,-1.343812892,51.76871886
108,K9 oak B,oak B,EX,-1.343637758,51.76883193
109,K9 ash,ash,EX,-1.34331763,51.76880954
110,K9 oak C,oak C,EX,-1.343265927,51.76885071
111,20209,birch,FG,-1.338833026,51.77259855
112,20583,birch,FG,-1.338875279,51.77271286
113,20575,birch,FG,-1.338743705,51.772764
114,20550,birch,FG,-1.338604192,51.77275919
115,20896,birch,FG,-1.338325511,51.77291353
116,20729,oak,FG,-1.33804331,51.77289855
117,20400,oak,FG,-1.337910803,51.7725786
118,21184,oak,FG,-1.33899847,51.77324637
119,14073,sycamore,FG,-1.338979596,51.77336491
120,14128,oak,FG,-1.338612353,51.77337749
121,14158,oak,FG,-1.33846186,51.77344256
122,14510,oak,FG,-1.33845898,51.77348969
123,14511,oak,FG,-1.338548898,51.77351883
124,14775,beech,FG,-1.338145646,51.77379934
125,15392,ash,FG,-1.339112106,51.7741218
126,17260,birch,FG,-1.337516766,51.77421482
127,17157,sycamore,FG,-1.337590868,51.77405086
128,17115,oak,FG,-1.337471634,51.77389715
129,17028,oak,FG,-1.336960596,51.77383963
130,16682,oak,FG,-1.336706437,51.77380976
131,17307,oak,FG,-1.33681459,51.77404004
132,17277,beech,FG,-1.337001328,51.7741641
133,17312,beech,FG,-1.336748353,51.77421437
134,17321,oak,FG,-1.33660622,51.77414204
135,18178,oak,FG,-1.336194405,51.77421848
136,18317,sycamore,FG,-1.335271655,51.77400522
137,18019,sycamore,FG,-1.335424109,51.77380913
138,17907,oak,FG,-1.335640773,51.77376974
139,17927,sycamore,FG,-1.335105086,51.77376567
140,17700,sycamore,FG,-1.335072348,51.77362881
141,17552,ash,FG,-1.33522853,51.77331184
142,17493,ash,FG,-1.335695454,51.77340581
143,17484,oak,FG,-1.335889048,51.77329483
144,17461,ash,FG,-1.336133813,51.77342172
145,16180,oak,FG,-1.336456561,51.77350031
146,16089,oak,FG,-1.336912991,51.77348298
147,16091,oak,FG,-1.336932403,51.77334782
148,19960,sycamore,FG,-1.337074208,51.77329814
149,untagged,oak,FG,-1.336701526,51.77329664
150,16317,sycamore,FG,-1.337403639,51.77359968
151,14296,beech,FG,-1.337686461,51.77356827
152,14291,oak,FG,-1.337666122,51.77333321
153,19872,oak,FG,-1.337561956,51.77324437
154,19864,oak,FG,-1.337495811,51.77316112
155,19842,beech,FG,-1.337629478,51.7731194
156,19532,ash,FG,-1.33709168,51.77281604
157,19347,beech,FG,-1.337040676,51.77267085
158,19201,beech,FG,-1.336843121,51.77259005
159,19209,beech,FG,-1.336875517,51.77246827
160,19319,sycamore,FG,-1.336495952,51.77266212
161,19598,ash,FG,-1.336393613,51.77284766
162,19270,beech,FG,-1.336311574,51.77243484
163,18584,sycamore,FG,-1.336017109,51.77261901
164,18452,beech,FG,-1.335314437,51.77243343
165,18522,ash,FG,-1.335295891,51.77275578
166,18695,ash,FG,-1.335314523,51.77287704
167,18712,birch,FG,-1.335033606,51.77292025
168,18746,sycamore,FG,-1.334898049,51.77299958
169,20831,birch,FG,-1.338711687,51.77285281
170,20869,birch,FG,-1.33857393,51.77286004
171,20782,birch,FG,-1.337840499,51.77300988
172,15160,oak,FG,-1.338328198,51.77382381
173,15225,birch,FG,-1.338592273,51.7739837
174,15584,ash,FG,-1.338363163,51.77424548
175,17893,oak,FG,-1.33581606,51.77364273
176,17863,oak,FG,-1.336113895,51.77374519
177,18594,ash,FG,-1.336006644,51.77273788
178,H7 hazel,hazel,B,-1.30880415,51.76495914
179,I6 hazel,hazel,B,-1.3072733,51.76568423
180,J6 hazel,hazel,B,-1.3072119,51.76689415
181,H6 hazel,hazel,B,-1.310142241,51.76525731
182,G1 hazel,hazel,B,-1.31028719,51.76412331
183,G2 hazel,hazel,B,-1.30888146,51.76411461
184,J4 hazel,hazel,B,-1.31019557,51.76676934
185,K5 hazel,hazel,B,-1.308845441,51.76814968
186,J5 hazel,hazel,B,-1.308628281,51.76694997
187,K6 hazel,hazel,B,-1.3072205,51.76771168
188,L1 hazel,hazel,B,-1.30882333,51.76865277
189,J2 hazel,hazel,B,-1.312902689,51.76674921
190,I2 hazel,hazel,B,-1.3130407,51.76604308
191,I3 hazel,hazel,B,-1.311834101,51.76599112
192,J3 hazel,hazel,B,-1.31154621,51.76685972
193,E6 hazel,hazel,B,-1.31312826,51.7635174
194,F0 hazel,hazel,B,-1.312169371,51.76396538
195,F9 hazel,hazel,B,-1.313395721,51.76428672
196,I4 hazel,hazel,B,-1.31048403,51.7658855
197,L3 hazel,hazel,EX,-1.344852069,51.76965393
198,L4 hazel,hazel,EX,-1.343379761,51.7698534
199,K9 hazel,hazel,EX,-1.34343764,51.76882805
200,P8 hazel,hazel,EX,-1.34040703,51.77589434
201,P7 hazel,hazel,EX,-1.34200476,51.77627488
202,P6 hazel,hazel,EX,-1.343462401,51.77612057
203,N2 hazel,hazel,EX,-1.34075959,51.77434596
204,N1 hazel,hazel,EX,-1.34226265,51.77445359
205,N8 hazel,hazel,EX,-1.34209825,51.77483161
206,L8 hazel,hazel,EX,-1.34228413,51.77257929
207,L9 hazel,hazel,EX,-1.34042327,51.77235564
208,K9 sycamore,Sycamore,EX,-1.34343154,51.7687997
209,L4 sycamore,sycamore,EX,-1.34316699,51.76984893
210,N8 oak B,oak,EX,-1.34170511,51.77526164
211,N8 oak B,oak,EX,-1.34170511,51.77526164
212,H6 birch,birch,B,-1.31018996,51.76567133
